question,answer,explanation
50%は半分を表す。,true,50%は2分の1と同じです。
日本の食料の一部は外国から輸入している。,true,日本は多くのものを輸入しています。
メダカのたまごは水の中で育つ。,true,メダカの卵は水中で成長します。
台形には平行な辺が1組もない。,false,台形には平行な辺が1組あります。
森林は水や空気の環境にも関わる。,true,森林は環境を守る役わりがあります。
1/4は25%である。,true,4分の1は25%です。
天気予報は気象観測と関係がない。,false,天気予報は観測データをもとにします。
日本には多くの島がある。,true,日本は島国です。
植物の発芽には条件が関係する。,true,水・空気・温度などが関わります。
割合はいつも100より小さい。,false,割合が100%をこえる場合もあります。
流れる水には土地をけずるはたらきがある。,true,侵食のはたらきがあります。
平均はばらばらの数をまとめて見るときに使える。,true,平均で全体の様子を見やすくなります。
日本の気候はどこでも同じで差がない。,false,地域によって気候はちがいます。
米づくりは農業のひとつである。,true,米づくりは農業です。
小数0.5は1/2と同じではない。,false,0.5は2分の1と同じです。
