question,answer,explanation
比例では、一方が2倍になるともう一方も2倍になる。,true,比例の関係では同じ比で増えます。
てこでは支点・力点・作用点が関係する。,true,てこの3つの点は重要です。
江戸時代は明治時代のあとである。,false,江戸時代のあとに明治時代です。
日本国憲法には基本的人権の尊重がある。,true,基本的人権の尊重は大切な原則です。
月は地球のまわりを回っている。,true,月は地球の衛星です。
反比例では、一方が2倍になるともう一方も2倍になる。,false,反比例では逆に半分になる関係です。
鎌倉時代より前に縄文時代がある。,true,縄文時代はずっと前の時代です。
国会は日本の法律をつくるはたらきに関わる。,true,国会は立法を担います。
電気をむだづかいしないことは環境に関係がある。,true,省エネは環境保全につながります。
直方体の面は4つである。,false,直方体の面は6つです。
消費税は買い物と関係がある。,true,商品やサービスの購入に関わります。
水よう液にはとけて見えないものが入っていることがある。,true,溶けると見えなくても中にあります。
縄文土器はつるつるでうすいものだけである。,false,縄文土器には縄目のもようがあります。
てこは軽い力で重いものを動かすのに役立つことがある。,true,てこの原理で力を小さくできます。
選挙は国や地域の政治と関係がある。,true,選挙で代表を選びます。
