question,answer,explanation
日本には47の都道府県がある。,true,日本は47都道府県です。
1平方メートルは面積の単位である。,true,㎡は面積の単位です。
晴れの日はいつも雲が0こである。,false,晴れでも雲があることはあります。
分度器は角度をはかるときに使う。,true,角度は分度器ではかります。
北海道は日本の南にある。,false,北海道は日本の北にあります。
川の水は高いところから低いところへ流れやすい。,true,水は高い所から低い所へ流れます。
1時間は100分である。,false,1時間は60分です。
春夏秋冬をまとめて季節という。,true,4つをまとめて季節といいます。
地図帳には都道府県や地名がのっている。,true,地図帳で場所を調べられます。
平行な2本の直線はどこかで必ず交わる。,false,平行な直線は交わりません。
月にも見える形の変化がある。,true,月は満ち欠けします。
ごみは分別しなくてもよい地域が多い。,false,多くの地域で分別が必要です。
直角は90度である。,true,直角は90°です。
台風は天気と関係がある。,true,台風は気象現象です。
四角形の辺は3本である。,false,四角形の辺は4本です。
