question,answer,explanation
わり算で12÷3は4である。,true,12÷3=4です。
太陽は東からのぼる。,true,太陽は東からのぼり西にしずむように見えます。
こん虫は足が8本である。,false,こん虫の足は6本です。
地図のきごうは場所をわかりやすくする。,true,地図記号で施設などを表します。
重さの単位にグラムがある。,true,gは重さの単位です。
植物は水も日光もいらない。,false,植物の成長には水や日光が大切です。
1キログラムは1000グラムである。,true,1kg=1000gです。
消防しょは火事のときに関係がある。,true,消防署は火事や救助に関わります。
三角形の辺は4本ある。,false,三角形の辺は3本です。
音はものがふるえると出ることがある。,true,音はふるえで生まれます。
北は方位のひとつである。,true,北・南・東・西があります。
20÷5は2である。,false,20÷5=4です。
人の体にはほねがある。,true,体の中にはたくさんの骨があります。
雨は雲と関係がない。,false,雨は雲と深く関係しています。
買い物ではお金の計算が役立つ。,true,買い物ではたし算やひき算を使います。
