question,answer,explanation
「あ」は ひらがな である。,true,「あ」はひらがなです。
1 たす 1 は 3 である。,false,1たす1は2です。
いぬ は どうぶつ である。,true,いぬはどうぶつです。
たいよう は よる に でる。,false,たいようは ひる にみえます。
りんご は くだもの である。,true,りんごはくだものです。
「ん」は ひらがな に ない。,false,「ん」もひらがなです。
10 の つぎ は 11 である。,true,10のつぎは11です。
みず は のめる ことが ある。,true,みずはのみものです。
ねこ は そら を とぶ。,false,ねこは ふつう そらをとびません。
はる の つぎ は なつ である。,true,きせつは はる→なつ→あき→ふゆ です。
2 ひく 1 は 0 である。,false,2ひく1は1です。
えんぴつ は かく ときに つかう。,true,えんぴつは もじや えをかくときに つかいます。
あさ の あいさつ は「おはよう」。,true,あさは「おはよう」とあいさつします。
ゆき は あつい ひ に よく ふる。,false,ゆきは さむいひ にふりやすいです。
しんごう の あか は「とまれ」を あらわす。,true,あかしんごうは とまれ です。
